Boro;Offense;Law Cat;Latitude;Longitude
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.830230703;-73.947685031
BRONX;THEFT&FRAUD;FELONY;40.847489162;-73.922749825
BRONX;THEFT&FRAUD;MISDEMEANOR;40.87018238;-73.894980315
QUEENS;ASSAULT;VIOLATION;40.704325286;-73.752632902
BROOKLYN;THEFT&FRAUD;FELONY;40.680203432;-73.955489395
BRONX;PUBLIC ORDER;MISDEMEANOR;40.791151867;-73.884371919
BROOKLYN;MANSLAUGHTER;FELONY;40.663898236;-73.88058069
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.604840222;-73.998625739
QUEENS;ASSAULT;MISDEMEANOR;40.686655742;-73.784706636
MANHATTAN;ASSAULT;VIOLATION;40.839602383;-73.939018466
BROOKLYN;PUBLIC ORDER;FELONY;40.63996998;-74.013881
BRONX;PUBLIC ORDER;MISDEMEANOR;40.88428063;-73.84718108
BROOKLYN;ASSAULT;VIOLATION;40.683133338;-73.979165026
BRONX;PUBLIC ORDER;FELONY;40.80907981;-73.911570786
BRONX;THEFT&FRAUD;MISDEMEANOR;40.861808753;-73.911916427
BROOKLYN;OTHER;FELONY;40.690505869;-73.959005521
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.675146162;-73.918003234
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.741978592;-73.980860771
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.598779574;-73.943541585
BROOKLYN;DRIVING;MISDEMEANOR;40.701806261;-73.940547457
BROOKLYN;THEFT&FRAUD;FELONY;40.644950485;-73.921452835
MANHATTAN;THEFT&FRAUD;FELONY;40.707124005;-74.010677687
QUEENS;ASSAULT;MISDEMEANOR;40.748926573;-73.859524335
BRONX;THEFT&FRAUD;FELONY;40.815379114;-73.904878907
STATEN ISLAND;PUBLIC ORDER;MISDEMEANOR;40.628633956;-74.110431854
BROOKLYN;ASSAULT;MISDEMEANOR;40.664552751;-73.890102711
BROOKLYN;ASSAULT;VIOLATION;40.666127689;-73.911756695
BROOKLYN;ASSAULT;VIOLATION;40.679478766;-73.973011846
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.703363845;-73.928370066
QUEENS;HEALTH&DRUGS;FELONY;40.756482343;-73.947266494
BROOKLYN;ASSAULT;MISDEMEANOR;40.665223129;-73.976333821
BROOKLYN;THEFT&FRAUD;FELONY;40.693686299;-73.956930051
MANHATTAN;THEFT&FRAUD;FELONY;40.767564513;-73.966264958
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.677584695;-73.948385213
BROOKLYN;HEALTH&DRUGS;FELONY;40.6340509;-74.022267295
STATEN ISLAND;PUBLIC ORDER;MISDEMEANOR;40.623188378;-74.149237695
MANHATTAN;THEFT&FRAUD;FELONY;40.835944157;-73.939921662
BRONX;THEFT&FRAUD;MISDEMEANOR;40.885497121;-73.900445997
STATEN ISLAND;THEFT&FRAUD;MISDEMEANOR;40.560329033;-74.163770066
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.770741681;-73.987379899
BRONX;HEALTH&DRUGS;MISDEMEANOR;40.809092626;-73.925854062
BROOKLYN;ASSAULT;VIOLATION;40.666778376;-73.92349981
BRONX;PUBLIC ORDER;MISDEMEANOR;40.88584607;-73.845842979
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.807281058;-73.967155121
BROOKLYN;THEFT&FRAUD;FELONY;40.605544227;-73.9601561
BRONX;PUBLIC ORDER;MISDEMEANOR;40.822663919;-73.821777915
QUEENS;ASSAULT;VIOLATION;40.770064504;-73.933601782
QUEENS;ASSAULT;FELONY;40.654068545;-73.734294763
QUEENS;THEFT&FRAUD;FELONY;40.749790504;-73.802880435
BROOKLYN;HEALTH&DRUGS;FELONY;40.577619067;-73.961443502
BROOKLYN;HEALTH&DRUGS;MISDEMEANOR;40.575442769;-73.987794763
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.715957117;-73.997353676
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.772362338;-73.820757211
QUEENS;PUBLIC ORDER;MISDEMEANOR;40.754520947;-73.871780917
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.641055984;-73.91065482
BROOKLYN;ASSAULT;MISDEMEANOR;40.723495085;-73.951647118
MANHATTAN;THEFT&FRAUD;FELONY;40.752700764;-73.973047152
MANHATTAN;ASSAULT;MISDEMEANOR;40.809596838;-73.949785598
BRONX;THEFT&FRAUD;MISDEMEANOR;40.872596004;-73.825563635
BRONX;THEFT&FRAUD;MISDEMEANOR;40.862305365;-73.868467608
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.692042578;-73.794580591
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.694023608;-73.851201654
BROOKLYN;HEALTH&DRUGS;MISDEMEANOR;40.684477795;-73.879822713
MANHATTAN;THEFT&FRAUD;FELONY;40.771190771;-73.952060168
BROOKLYN;THEFT&FRAUD;FELONY;40.622905658;-73.986384796
MANHATTAN;THEFT&FRAUD;FELONY;40.773488819;-73.947375782
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.666296501;-73.950837887
QUEENS;THEFT&FRAUD;FELONY;40.692489731;-73.795985574
STATEN ISLAND;THEFT&FRAUD;MISDEMEANOR;40.623226819;-74.149226973
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.739882419;-73.986660411
QUEENS;DRIVING;MISDEMEANOR;40.770480201;-73.875468774
BRONX;ASSAULT;FELONY;40.830394244;-73.894027715
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.642588322;-73.923077124
BRONX;PUBLIC ORDER;MISDEMEANOR;40.843200365;-73.866860913
BROOKLYN;THEFT&FRAUD;FELONY;40.651698159;-73.868446756
STATEN ISLAND;THEFT&FRAUD;FELONY;40.604637686;-74.065458701
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.777087344;-73.947755665
BRONX;ASSAULT;FELONY;40.868158954;-73.90051534
MANHATTAN;THEFT&FRAUD;FELONY;40.824040004;-73.944759612
MANHATTAN;ASSAULT;VIOLATION;40.804384046;-73.937421669
QUEENS;ASSAULT;MISDEMEANOR;40.747301899;-73.887183659
BROOKLYN;ASSAULT;VIOLATION;40.669874185;-73.881121529
QUEENS;DRIVING;MISDEMEANOR;40.679980738;-73.776233907
BROOKLYN;ASSAULT;VIOLATION;40.647951397;-73.960606456
STATEN ISLAND;THEFT&FRAUD;MISDEMEANOR;40.634360764;-74.141883919
BRONX;ASSAULT;VIOLATION;40.857104404;-73.881358051
BROOKLYN;ASSAULT;VIOLATION;40.633185256;-74.027091211
STATEN ISLAND;THEFT&FRAUD;MISDEMEANOR;40.63972025;-74.088074347
BROOKLYN;ASSAULT;MISDEMEANOR;40.669643125;-73.946347429
QUEENS;HEALTH&DRUGS;MISDEMEANOR;40.602303082;-73.752171813
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.769809607;-73.957635362
BROOKLYN;OTHER;VIOLATION;40.676625463;-73.872608452
BRONX;THEFT&FRAUD;MISDEMEANOR;40.81194969;-73.925554652
QUEENS;PUBLIC ORDER;MISDEMEANOR;40.710920901;-73.85372494
BRONX;THEFT&FRAUD;FELONY;40.897860173;-73.854774903
BROOKLYN;THEFT&FRAUD;FELONY;40.627147037;-73.943557216
BROOKLYN;ASSAULT;MISDEMEANOR;40.684554464;-73.965084645
QUEENS;HEALTH&DRUGS;FELONY;40.661708596;-73.840413715
BROOKLYN;HEALTH&DRUGS;MISDEMEANOR;40.639364569;-74.034382944
BROOKLYN;ASSAULT;VIOLATION;40.659284453;-73.888997675
BRONX;THEFT&FRAUD;FELONY;40.821907725;-73.845546689
BROOKLYN;ASSAULT;VIOLATION;40.657374916;-73.923737654
BROOKLYN;ASSAULT;VIOLATION;40.659275227;-73.934115729
BRONX;THEFT&FRAUD;MISDEMEANOR;40.866606627;-73.868744725
MANHATTAN;THEFT&FRAUD;FELONY;40.759313185;-73.995709559
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.74219698;-73.97468255
BROOKLYN;DRIVING;MISDEMEANOR;40.666192408;-73.880133213
BROOKLYN;ASSAULT;MISDEMEANOR;40.682524649;-73.90782302
QUEENS;ASSAULT;VIOLATION;40.71054834;-73.75550626
MANHATTAN;PUBLIC ORDER;MISDEMEANOR;40.83469937;-73.942495779
QUEENS;PUBLIC ORDER;MISDEMEANOR;40.686335012;-73.834755096
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.650928834;-73.930293129
BRONX;OTHER;FELONY;40.876345648;-73.851328816
MANHATTAN;THEFT&FRAUD;FELONY;40.744307316;-73.990217852
BROOKLYN;THEFT&FRAUD;FELONY;40.648932379;-73.949373166
MANHATTAN;ASSAULT;MISDEMEANOR;40.754699165;-73.993500894
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.822420993;-73.95170531
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.589306611;-73.942217418
MANHATTAN;THEFT&FRAUD;FELONY;40.776998237;-73.977796119
BROOKLYN;ASSAULT;VIOLATION;40.574301425;-73.994072789
QUEENS;THEFT&FRAUD;FELONY;40.609544464;-73.753718823
BRONX;ASSAULT;VIOLATION;40.874217411;-73.878532422
BROOKLYN;HEALTH&DRUGS;MISDEMEANOR;40.577587416;-73.976336071
STATEN ISLAND;PUBLIC ORDER;MISDEMEANOR;40.585605216;-74.158446031
MANHATTAN;WEAPONS;FELONY;40.713143696;-74.004059506
BRONX;THEFT&FRAUD;MISDEMEANOR;40.804280419;-73.90606509
BROOKLYN;ASSAULT;VIOLATION;40.692080098;-73.991209958
STATEN ISLAND;OTHER;FELONY;40.638292473;-74.088706612
BRONX;ASSAULT;VIOLATION;40.86157703;-73.891241309
STATEN ISLAND;THEFT&FRAUD;MISDEMEANOR;40.623226819;-74.149226973
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.585491957;-73.956016951
MANHATTAN;ASSAULT;MISDEMEANOR;40.708842606;-74.005184607
QUEENS;ASSAULT;MISDEMEANOR;40.748318172;-73.855837144
STATEN ISLAND;ASSAULT;MISDEMEANOR;40.645337665;-74.102711974
BRONX;OTHER;FELONY;40.858792094;-73.895218819
BRONX;OTHER;FELONY;40.791151867;-73.884371919
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.707633917;-73.795152927
MANHATTAN;THEFT&FRAUD;FELONY;40.758228573;-73.989071565
BROOKLYN;HEALTH&DRUGS;MISDEMEANOR;40.689694168;-73.984384313
QUEENS;THEFT&FRAUD;FELONY;40.748101137;-73.879559972
BRONX;THEFT&FRAUD;MISDEMEANOR;40.818149085;-73.821930909
BROOKLYN;ASSAULT;VIOLATION;40.623789831;-73.963023473
QUEENS;ASSAULT;VIOLATION;40.781494923;-73.911127174
BRONX;OTHER;FELONY;40.846835057;-73.897044862
BRONX;THEFT&FRAUD;MISDEMEANOR;40.813531371;-73.922482168
MANHATTAN;ASSAULT;MISDEMEANOR;40.820343239;-73.940008005
BRONX;HEALTH&DRUGS;MISDEMEANOR;40.863458331;-73.901737119
QUEENS;ASSAULT;VIOLATION;40.752259534;-73.85358003
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.671269373;-73.943415337
BROOKLYN;ASSAULT;MISDEMEANOR;40.691547633;-73.920060119
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.741539549;-73.922349405
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.743511609;-73.994227355
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.689871815;-73.979512693
BROOKLYN;PUBLIC ORDER;MISDEMEANOR;40.707949581;-73.961065145
BRONX;THEFT&FRAUD;FELONY;40.82470413;-73.839180937
MANHATTAN;ASSAULT;FELONY;40.757711677;-73.982025754
BRONX;ASSAULT;MISDEMEANOR;40.853450242;-73.891536549
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.824941106;-73.952819968
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.804090567;-73.955616058
MANHATTAN;ASSAULT;VIOLATION;40.80177933;-73.962881265
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.821144233;-73.950604267
BRONX;ASSAULT;VIOLATION;40.818413984;-73.907277131
MANHATTAN;THEFT&FRAUD;FELONY;40.81051681;-73.950922824
MANHATTAN;HEALTH&DRUGS;MISDEMEANOR;40.706484127;-74.013934529
BRONX;WEAPONS;FELONY;40.833419507;-73.930980069
MANHATTAN;ASSAULT;VIOLATION;40.759798453;-73.987927035
BRONX;HEALTH&DRUGS;MISDEMEANOR;40.817969905;-73.886431614
BROOKLYN;ASSAULT;VIOLATION;40.634898508;-73.964649448
BRONX;THEFT&FRAUD;FELONY;40.834272213;-73.917109679
BRONX;ASSAULT;VIOLATION;40.81749421;-73.910378213
BROOKLYN;ASSAULT;FELONY;40.669721465;-73.876842881
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.704981779;-73.935138147
QUEENS;THEFT&FRAUD;FELONY;40.730414918;-73.788761491
BRONX;THEFT&FRAUD;MISDEMEANOR;40.81532727;-73.915865216
QUEENS;THEFT&FRAUD;FELONY;40.746436842;-73.895420791
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.699078887;-73.820038209
BROOKLYN;ASSAULT;MISDEMEANOR;40.644950485;-73.921452835
MANHATTAN;THEFT&FRAUD;FELONY;40.753799821;-73.978558209
QUEENS;PUBLIC ORDER;MISDEMEANOR;40.708325184;-73.914546684
BRONX;PUBLIC ORDER;MISDEMEANOR;40.842062306;-73.917952914
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.696205265;-73.988685041
QUEENS;PUBLIC ORDER;MISDEMEANOR;40.669798571;-73.794411178
MANHATTAN;PUBLIC ORDER;FELONY;40.807085412;-73.943830883
BROOKLYN;ASSAULT;MISDEMEANOR;40.62454224;-73.956167736
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.826323649;-73.939377513
BROOKLYN;THEFT&FRAUD;FELONY;40.681580279;-73.922487724
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.698158838;-73.795084668
STATEN ISLAND;ASSAULT;MISDEMEANOR;40.636744136;-74.134282972
BRONX;ASSAULT;MISDEMEANOR;40.839739531;-73.913178032
BROOKLYN;DRIVING;MISDEMEANOR;40.638865171;-74.022712088
BRONX;THEFT&FRAUD;FELONY;40.833242443;-73.89022159
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.700511239;-73.941540394
MANHATTAN;HEALTH&DRUGS;MISDEMEANOR;40.755138754;-73.96524256
QUEENS;ASSAULT;MISDEMEANOR;40.606736762;-73.761641518
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.795581553;-73.932297815
MANHATTAN;THEFT&FRAUD;FELONY;40.73883974;-73.989861409
BROOKLYN;ASSAULT;MISDEMEANOR;40.57759019;-73.976476464
BROOKLYN;THEFT&FRAUD;MISDEMEANOR;40.665620774;-73.938373697
MANHATTAN;THEFT&FRAUD;MISDEMEANOR;40.779167668;-73.953740642
BROOKLYN;WEAPONS;FELONY;40.667135877;-73.866978042
BROOKLYN;THEFT&FRAUD;FELONY;40.68873993;-73.928717513
QUEENS;THEFT&FRAUD;MISDEMEANOR;40.711600901;-73.879142573
BROOKLYN;OTHER;FELONY;40.708986053;-73.966453307
